| ident | key |                            value                             |
|-------|-----|--------------------------------------------------------------|
| 1     | 0   | {"machine":"Inphormex","person":["Xavier","Bouchard"]}       |
| 1     | 1   | {"machine":"Inphormex","person":["Xavier","Bouchard"]}       |
| 1     | 2   | {"machine":"WY401","person":["Xavier","Bouchard"]}           |
| 1     | 3   | {"machine":"Inphormex","person":["Xavier","Bouchard"]}       |
| 2     | 0   | {"machine":"Inphormex","person":["B\u00e9atrice","Lachance"] |
|       |     | }                                                            |
| 2     | 1   | {"machine":"AutoPlate 9000","person":["B\u00e9atrice","Lacha |
|       |     | nce"]}                                                       |
| 2     | 2   | {"machine":"sterilizer","person":["B\u00e9atrice","Lachance" |
|       |     | ]}                                                           |
| 2     | 3   | {"machine":"AutoPlate 9000","person":["J\u00e9r\u00f4me","Ro |
|       |     | bert"]}                                                      |
| 2     | 4   | {"machine":"sterilizer","person":["B\u00e9atrice","Lachance" |
|       |     | ]}                                                           |
| 3     | 0   | {"machine":"sterilizer","person":["Nicolas","Couture"]}      |
